"Category","SSP1-1.9","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP1-2.6","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP2-4.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP3-7.0","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP5-8.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)"
"Jan",0.14,-0.82,1.2,1.19,-0.31,2.65,2.33,0.87,4.01,3.65,1.91,4.66,4.7,2.57,5.92
"Feb",0.41,-0.72,1.47,1.43,-0.14,2.8,2.2,0.8,3.66,3.51,1.71,4.73,4.52,2.44,5.85
"Mar",0.43,-1.22,1.62,1.32,0.24,2.51,2.22,0.89,3.72,3.23,2.32,4.19,3.98,2.65,5.25
"Apr",0.71,-0.71,2.24,1.19,-0.21,2.41,1.95,0.7,3.16,2.95,1.64,4.01,3.73,2.17,4.91
"May",1.39,-1.28,2.83,1.42,-0.22,2.96,2.14,0.6,3.72,3.03,1.65,4.82,4.16,2.54,6.22
"Jun",1.4,0.14,2.7,1.69,0.08,3.8,2.66,1.2,4.9,4.24,2.28,6.22,5.32,3.43,8.46
"Jul",1.61,-0.25,3.54,2.08,0.17,4.62,3.56,1.31,6.1,5.13,3.27,8.35,6.56,3.78,9.75
"Aug",1.33,-0.74,2.98,2.37,0.05,4.64,3.77,1.14,6.34,5.77,2.71,8.45,7.23,2.82,10.74
"Sep",1.21,-1.61,2.13,1.93,-0.08,3.98,3.5,0.32,5.25,4.9,2.49,6.63,6.38,2.11,9.34
"Oct",1.26,-1.46,2.65,1.82,-0.54,3.03,2.66,0.69,4.6,3.75,0.89,5.74,5.06,1.6,7.86
"Nov",0.99,-0.49,1.97,1.48,0.17,2.85,2.32,0.69,3.8,3.3,2.04,5.22,4.36,2.44,6.73
"Dec",0.66,-0.77,1.7,1.21,-0.11,2.69,2.42,0.7,4,3.62,2.26,4.64,4.7,3.02,5.95